states,year,quarter,district,trans_counts,amount,registered_user_counts,level
andhra-pradesh,2019,2,spsr nellore district,3141891.0,6880873007.482059,558303,district_map
andhra-pradesh,2019,2,vizianagaram district,2272320.0,4443041665.039663,355058,district_map
andhra-pradesh,2019,2,visakhapatnam district,11705738.0,20797479804.02907,1318740,district_map
andhra-pradesh,2019,2,prakasam district,2670529.0,6262396448.455349,539462,district_map
andhra-pradesh,2019,2,anantapur district,3578836.0,7830782361.377665,695114,district_map
andhra-pradesh,2019,2,ysr district,2606284.0,6376856828.130631,519031,district_map
andhra-pradesh,2019,2,west godavari district,2402074.0,5676818258.955046,592185,district_map
andhra-pradesh,2019,2,kurnool district,3895824.0,7358285187.018034,680118,district_map
andhra-pradesh,2019,2,chittoor district,5983308.0,10982727976.22432,925491,district_map
andhra-pradesh,2019,2,guntur district,5005275.0,10405246943.48149,915256,district_map
andhra-pradesh,2019,2,krishna district,6428472.0,13437029115.62075,952300,district_map
andhra-pradesh,2019,3,east godavari district,6537303.0,11387726470.57774,1057167,district_map
andhra-pradesh,2019,3,srikakulam district,2556296.0,4610131289.524039,437939,district_map
andhra-pradesh,2019,3,spsr nellore district,4150195.0,8256600118.735449,619592,district_map
andhra-pradesh,2019,3,vizianagaram district,2861581.0,4922069039.192161,394375,district_map
andhra-pradesh,2019,3,visakhapatnam district,16694947.0,26944837120.04628,1460464,district_map
andhra-pradesh,2019,3,prakasam district,3430750.0,7354502261.15091,598568,district_map
andhra-pradesh,2019,3,anantapur district,4889720.0,9554081289.488276,773656,district_map
andhra-pradesh,2019,3,ysr district,3296586.0,7447544274.211781,574109,district_map
andhra-pradesh,2019,3,west godavari district,3179541.0,6627629029.014131,662102,district_map
andhra-pradesh,2019,3,kurnool district,5139134.0,9025632779.412457,755024,district_map
andhra-pradesh,2019,3,chittoor district,8201783.0,13837455758.755262,1032733,district_map
andhra-pradesh,2019,3,guntur district,6942304.0,13075661264.18803,1026418,district_map
andhra-pradesh,2019,3,krishna district,8408474.0,16404073560.50078,1066546,district_map
andhra-pradesh,2019,4,east godavari district,9285739.0,16816774065.30131,1195228,district_map
andhra-pradesh,2019,4,srikakulam district,3712555.0,6832369301.879346,496266,district_map
andhra-pradesh,2019,4,spsr nellore district,5877804.0,11786014089.19402,697154,district_map
andhra-pradesh,2019,4,vizianagaram district,3998234.0,7175851807.068796,443810,district_map
andhra-pradesh,2019,4,visakhapatnam district,23594874.0,39133296330.044624,1620235,district_map
andhra-pradesh,2019,4,prakasam district,4865473.0,10604077824.801031,673522,district_map
andhra-pradesh,2019,4,anantapur district,6764112.0,13887248889.06406,873033,district_map
andhra-pradesh,2019,4,ysr district,4793157.0,10865073855.73078,646642,district_map
andhra-pradesh,2019,4,west godavari district,4596479.0,9710614747.20177,750078,district_map
andhra-pradesh,2019,4,kurnool district,7001958.0,13233105728.54823,846885,district_map
andhra-pradesh,2019,4,chittoor district,11246986.0,19298476027.87548,1156351,district_map
andhra-pradesh,2019,4,guntur district,9761330.0,18565626418.03591,1158708,district_map
andhra-pradesh,2019,4,krishna district,11719402.0,23039786404.04664,1199971,district_map
andhra-pradesh,2020,1,east godavari district,11346242.0,21854701379.42868,1329664,district_map
andhra-pradesh,2020,1,srikakulam district,4835092.0,9777575594.177538,552007,district_map
andhra-pradesh,2020,1,spsr nellore district,7430247.0,15387829694.44686,775440,district_map
andhra-pradesh,2020,1,vizianagaram district,5042066.0,9879174240.920494,490683,district_map
andhra-pradesh,2020,1,visakhapatnam district,27115031.0,48809747614.67889,1763581,district_map
andhra-pradesh,2020,1,prakasam district,6318396.0,14169104764.52673,748655,district_map
andhra-pradesh,2020,1,anantapur district,8466129.0,17864325752.82528,971850,district_map
andhra-pradesh,2020,1,ysr district,6031255.0,14059924636.81991,717865,district_map
andhra-pradesh,2020,1,west godavari district,5919670.0,12995834340.71623,843835,district_map
andhra-pradesh,2020,1,kurnool district,8246869.0,17022710311.81304,936293,district_map
andhra-pradesh,2020,1,chittoor district,13257740.0,23441848567.34419,1270907,district_map
andhra-pradesh,2020,1,guntur district,11493331.0,22992734620.64621,1289678,district_map
andhra-pradesh,2020,1,krishna district,12175289.0,24481702770.71471,1331602,district_map
andhra-pradesh,2020,2,east godavari district,13130334.0,26319906327.32029,1459116,district_map
andhra-pradesh,2020,2,srikakulam district,6425515.0,12153650076.87583,608002,district_map
andhra-pradesh,2020,2,spsr nellore district,9454274.0,20665376460.772232,854459,district_map
andhra-pradesh,2020,2,vizianagaram district,6690313.0,12819344389.54538,537798,district_map
andhra-pradesh,2020,2,visakhapatnam district,25300401.0,48293889917.414375,1904719,district_map
andhra-pradesh,2020,2,prakasam district,8844580.0,19846026726.90433,830709,district_map
andhra-pradesh,2020,2,anantapur district,10473739.0,22094006659.412502,1076953,district_map
andhra-pradesh,2020,2,ysr district,8033609.0,19597207268.13202,796769,district_map
andhra-pradesh,2020,2,west godavari district,7273096.0,16585866855.15978,944829,district_map
andhra-pradesh,2020,2,kurnool district,9821381.0,22419372061.80517,1035093,district_map
andhra-pradesh,2020,2,chittoor district,14848197.0,27361300300.01902,1385916,district_map
andhra-pradesh,2020,2,guntur district,12308707.0,27463593607.839104,1426271,district_map
andhra-pradesh,2020,2,krishna district,12313709.0,26964149095.36629,1459041,district_map
andhra-pradesh,2020,3,east godavari district,17972431.0,39300043804.758514,1601940,district_map
andhra-pradesh,2020,3,srikakulam district,8286289.0,18029574581.33742,667858,district_map
andhra-pradesh,2020,3,spsr nellore district,16468209.0,39128324534.03022,937176,district_map
andhra-pradesh,2020,3,vizianagaram district,8236703.0,17567816576.50126,587784,district_map
andhra-pradesh,2020,3,visakhapatnam district,34421299.0,67628440368.111465,2058346,district_map
andhra-pradesh,2020,3,prakasam district,12266310.0,31221704852.44969,915240,district_map
andhra-pradesh,2020,3,anantapur district,14447683.0,34102037972.65785,1186851,district_map
andhra-pradesh,2020,3,ysr district,11934653.0,32037007334.12973,877909,district_map
andhra-pradesh,2020,3,west godavari district,10412351.0,25408608725.75429,1053674,district_map
andhra-pradesh,2020,3,kurnool district,13243292.0,32529351107.17173,1132240,district_map
andhra-pradesh,2020,3,chittoor district,20501863.0,42811566246.16463,1506503,district_map
andhra-pradesh,2020,3,guntur district,17601395.0,42531195809.75448,1567595,district_map
andhra-pradesh,2020,3,krishna district,19110457.0,44788458672.08444,1599289,district_map
andhra-pradesh,2020,4,east godavari district,25989490.0,58732615663.118416,1746280,district_map
andhra-pradesh,2020,4,srikakulam district,11092184.0,25222520275.27882,726761,district_map
andhra-pradesh,2020,4,spsr nellore district,20934374.0,49115443663.37911,1022944,district_map
andhra-pradesh,2020,4,vizianagaram district,10580824.0,24094847668.44506,634462,district_map
andhra-pradesh,2020,4,visakhapatnam district,46551467.0,91879823025.404,2209658,district_map
andhra-pradesh,2020,4,prakasam district,16176867.0,41852443493.51539,999462,district_map
andhra-pradesh,2020,4,anantapur district,20996384.0,49732610814.26222,1295872,district_map
andhra-pradesh,2020,4,ysr district,15676878.0,42572974713.44026,959182,district_map
andhra-pradesh,2020,4,west godavari district,15674762.0,40310975762.603455,1163179,district_map
andhra-pradesh,2020,4,kurnool district,18737323.0,44718203115.22612,1230466,district_map
andhra-pradesh,2020,4,chittoor district,29590411.0,61505711149.79541,1631331,district_map
andhra-pradesh,2020,4,guntur district,26136538.0,60641872021.254326,1712940,district_map
andhra-pradesh,2020,4,krishna district,27981050.0,64461504667.60723,1744028,district_map
andhra-pradesh,2021,1,east godavari district,26190701.0,60027984987.96951,1878769,district_map
andhra-pradesh,2021,1,srikakulam district,11160473.0,26486623313.092724,782604,district_map
andhra-pradesh,2021,1,spsr nellore district,22541428.0,52210333201.53073,1100541,district_map
andhra-pradesh,2021,1,vizianagaram district,10514582.0,24153782497.24324,681621,district_map
andhra-pradesh,2021,1,visakhapatnam district,48248923.0,95308386037.8472,2368081,district_map
andhra-pradesh,2021,1,prakasam district,15175395.0,41396223622.17477,1075936,district_map
andhra-pradesh,2021,1,anantapur district,20102957.0,48353870395.01808,1394849,district_map
andhra-pradesh,2021,1,ysr district,15374473.0,42570919448.50447,1032689,district_map
andhra-pradesh,2021,1,west godavari district,16015685.0,42124030669.36126,1254117,district_map
andhra-pradesh,2021,1,kurnool district,17918524.0,44941629659.56964,1323411,district_map
andhra-pradesh,2021,1,chittoor district,29342609.0,60947491846.66089,1751420,district_map
andhra-pradesh,2021,1,guntur district,27445045.0,64207987853.1084,1843237,district_map
andhra-pradesh,2021,1,krishna district,29717175.0,69715406644.53485,1876458,district_map
