states,year,quarter,district,trans_counts,amount,registered_user_counts,level
andhra-pradesh,2021,3,prakasam,24116580.0,63367713446.92805,1239147.0,district_top
andhra-pradesh,2021,4,visakhapatnam,82711538.0,159530099772.73468,2888774.0,district_top
andhra-pradesh,2021,4,krishna,55489829.0,125015323207.8983,2288148.0,district_top
andhra-pradesh,2021,4,chittoor,51119640.0,103985734663.7351,2141818.0,district_top
andhra-pradesh,2021,4,guntur,50919286.0,115553993673.1733,2252443.0,district_top
andhra-pradesh,2021,4,east godavari,48992531.0,106725597026.00352,2294347.0,district_top
andhra-pradesh,2021,4,spsr nellore,41921081.0,92256405076.26547,1349290.0,district_top
andhra-pradesh,2021,4,anantapur,36129136.0,81239787006.64764,1719437.0,district_top
andhra-pradesh,2021,4,west godavari,33235175.0,81292461575.08183,1532898.0,district_top
andhra-pradesh,2021,4,kurnool,31782248.0,73968947669.64754,1628242.0,district_top
andhra-pradesh,2021,4,prakasam,27858275.0,71323060008.47623,1325728.0,district_top
andhra-pradesh,2022,1,visakhapatnam,88233362.0,170120350591.26,3061324.0,district_top
andhra-pradesh,2022,1,krishna,61826199.0,139690081529.49042,2423373.0,district_top
andhra-pradesh,2022,1,chittoor,58561024.0,117900595508.6339,2270705.0,district_top
andhra-pradesh,2022,1,guntur,57226996.0,129673727687.0894,2387051.0,district_top
andhra-pradesh,2022,1,east godavari,54738830.0,121067103712.7956,2432305.0,district_top
andhra-pradesh,2022,1,spsr nellore,47645702.0,104895571602.1398,1431664.0,district_top
andhra-pradesh,2022,1,anantapur,40613148.0,90197023268.43823,1827094.0,district_top
andhra-pradesh,2022,1,west godavari,37271259.0,92397939903.60934,1626039.0,district_top
andhra-pradesh,2022,1,kurnool,35093633.0,81568420500.54747,1729513.0,district_top
andhra-pradesh,2022,1,prakasam,31340975.0,79494373254.71565,1408929.0,district_top
andhra-pradesh,2022,2,visakhapatnam,101387402.0,193242841582.1428,3226029.0,district_top
andhra-pradesh,2022,2,krishna,73525814.0,163997729295.93118,2552107.0,district_top
andhra-pradesh,2022,2,chittoor,67507661.0,136435445124.75612,2392549.0,district_top
